legacy_course_id	target_course_id	course_scope	course_version	result_count	formal_count	test_count
W01D22	legacy-streamlit/W01D22	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D23	legacy-streamlit/W01D23	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D24	legacy-streamlit/W01D24	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D25	legacy-streamlit/W01D25	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D26	legacy-streamlit/W01D26	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D27	legacy-streamlit/W01D27	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
W01D28	legacy-streamlit/W01D28	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D29	legacy-streamlit/W01D29	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
W01D30	legacy-streamlit/W01D30	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D31	legacy-streamlit/W01D31	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
W01D32	legacy-streamlit/W01D32	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D33	legacy-streamlit/W01D33	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D34	legacy-streamlit/W01D34	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D35	legacy-streamlit/W01D35	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
W01D36	legacy-streamlit/W01D36	legacy-only	legacy-streamlit@16ca371ee0ef	1	1	0
W01D37	legacy-streamlit/W01D37	legacy-only	legacy-streamlit@16ca371ee0ef	2	2	0
W01D38	legacy-streamlit/W01D38	legacy-only	legacy-streamlit@16ca371ee0ef	3	3	0
W01D39	W01D39	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
W01D40	W01D40	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
W01D41	W01D41	current-equivalent	legacy-streamlit@16ca371ee0ef	1	1	0
W01D42	W01D42	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
W01D43	W01D43	current-equivalent	legacy-streamlit@16ca371ee0ef	2	2	0
